run	new_data_in_words	PN_size	testset	spearman_before	spearman_after	sp_diff	time-taken	w2v-score	w2v_testset
42	1000000	9999	3000	0.18740810323467455	0.2532123896669854	0.06580428643231084	576.676673412323	0.4606514248769723	3000
43	1000000	9999	3000	0.18760643534717145	0.2546990535859027	0.06709261823873128	587.9444012641907	0.459703761032864	3000
44	1000000	9999	3000	0.18847681534894695	0.2568252033497526	0.06834838800080567	582.5817606449127	0.46545912183667537	3000
45	1000000	9999	3000	0.1893754674440705	0.25552407070429367	0.06614860326022318	581.5707478523254	0.4728335315122419	3000
46	1000000	9999	3000	0.18985630175904694	0.2576569432461873	0.06780064148714038	570.3082990646362	0.4676480581051622	3000
47	1000000	9999	3000	0.190138257356311	0.25992411438967117	0.06978585703336015	597.3534271717072	0.4800697963335315	3000
48	1000000	9999	3000	0.19108408910599642	0.26371386721448653	0.07262977810849011	571.8693923950195	0.472931652149894	3000
49	1000000	9999	3000	0.19260972961499306	0.2648400129947905	0.07223028337979742	566.2794482707977	0.4782882596698197	3000
50	1000000	9999	3000	0.1940378103179597	0.2678791762551579	0.0738413659371982	571.8465917110443	0.47878666782039253	3000
51	1000000	9999	3000	0.19582361445907157	0.26699918043281445	0.07117556597374289	575.8005812168121	0.485409940344437	3000
52	1000000	9999	3000	0.19615657905943237	0.26991501380531685	0.07375843474588448	584.3248105049133	0.49399162022120685	3000
53	1000000	9999	3000	0.19663820849716432	0.27291419356524904	0.07627598506808472	606.0518863201141	0.4922485308658653	3000
54	1000000	9999	3000	0.1972336396292063	0.27177530697856817	0.07454166734936188	563.9898905754089	0.4909747179815881	3000
55	1000000	9999	3000	0.19816313813040695	0.2763935819712948	0.07823044384088787	567.0498039722443	0.4962860188422938	3000
56	1000000	9999	3000	0.1988390484890733	0.2765997854038423	0.07776073691476898	577.8370084762573	0.49533949800103944	3000
57	1000000	9999	3000	0.19829948223281307	0.27544889904149716	0.07714941680868409	565.2780122756958	0.502936375332449	3000
58	1000000	9999	3000	0.19846926794905992	0.2761114340681417	0.07764216611908178	567.1139476299286	0.5010721201168014	3000
59	1000000	9999	3000	0.19821273516265017	0.2749614169967496	0.07674868183409941	617.9123249053955	0.5001491937708678	3000
60	1000000	9999	3000	0.19974677947676148	0.2773710268835016	0.07762424740674015	595.4845051765442	0.5061791680124199	3000
