score,KC_factor,projections,hash_dims,flattening
0.03936,6.0,10.0,288.0,log2
0.03925,6.0,20.0,288.0,log
0.03849,10.0,6.0,640.0,log
0.03834,8.0,6.0,640.0,log2
0.03697,1.0,16.0,32.0,log10
0.03677,2.0,18.0,96.0,log10
0.03672,4.0,8.0,128.0,log
0.03639,8.0,18.0,640.0,log10
0.03602,6.0,8.0,192.0,log2
0.03552,1.0,20.0,32.0,log2
0.03541,2.0,14.0,64.0,log10
0.03448,2.0,14.0,32.0,log2
0.03407,10.0,10.0,800.0,log2
0.03327,6.0,10.0,96.0,log2
0.03326,6.0,8.0,288.0,log10
0.03321,8.0,16.0,128.0,log2
0.03251,6.0,16.0,288.0,log
0.03245,10.0,6.0,800.0,log10
0.03067,8.0,12.0,384.0,log
0.03067,1.0,12.0,32.0,log10
0.03062,6.0,6.0,480.0,log
0.03024,10.0,10.0,480.0,log10
0.03019,10.0,18.0,640.0,log2
0.03019,8.0,12.0,640.0,log10
0.02965,6.0,8.0,480.0,log2
0.02954,4.0,6.0,192.0,log10
0.029,8.0,12.0,128.0,log10
0.02884,2.0,16.0,160.0,log10
0.02868,10.0,14.0,800.0,log2
0.02868,6.0,20.0,384.0,log10
0.0269,2.0,18.0,128.0,log10
0.02625,6.0,12.0,192.0,log10
0.02614,10.0,12.0,480.0,log2
0.02614,10.0,20.0,480.0,log10
0.02608,2.0,12.0,128.0,log2
0.02592,1.0,6.0,64.0,log
0.02501,10.0,18.0,800.0,log2
0.02491,10.0,10.0,800.0,log
0.02446,2.0,10.0,96.0,log
0.0243,4.0,12.0,128.0,log2
0.02345,4.0,6.0,256.0,log2
0.02279,10.0,18.0,160.0,log2
0.02237,6.0,20.0,384.0,log
0.02174,1.0,12.0,48.0,log
0.02156,6.0,12.0,384.0,log
0.02118,10.0,6.0,480.0,log
0.02113,10.0,20.0,800.0,log10
0.02073,6.0,12.0,96.0,log2
0.02058,8.0,18.0,384.0,log10
0.01826,6.0,10.0,384.0,log
0.01821,6.0,10.0,384.0,log2
0.01821,10.0,12.0,160.0,log10
0.01811,8.0,18.0,512.0,log10
0.01738,1.0,6.0,48.0,log10
0.01736,8.0,6.0,384.0,log10
0.01709,2.0,14.0,96.0,log10
0.01703,10.0,14.0,320.0,log
0.0168,2.0,20.0,128.0,log
0.01673,2.0,10.0,32.0,log2
0.01665,10.0,18.0,480.0,log2
0.01661,1.0,6.0,48.0,log2
0.01656,2.0,20.0,128.0,log10
0.01632,8.0,16.0,256.0,log
0.01595,2.0,6.0,96.0,log2
0.01514,10.0,16.0,640.0,log10
0.01509,8.0,16.0,640.0,log2
0.01496,8.0,14.0,256.0,log10
0.01359,8.0,18.0,384.0,log2
0.01325,8.0,18.0,640.0,log2
0.01302,8.0,18.0,128.0,log10
0.01208,10.0,6.0,640.0,log2
0.01184,10.0,12.0,480.0,log
0.01179,6.0,10.0,96.0,log10
0.01179,10.0,18.0,320.0,log10
0.01174,2.0,8.0,64.0,log
0.01098,1.0,20.0,32.0,log10
0.01028,10.0,20.0,640.0,log
0.01023,10.0,10.0,480.0,log
0.00948,8.0,12.0,384.0,log2
0.00948,6.0,6.0,384.0,log10
0.0091,10.0,18.0,800.0,log
0.00906,8.0,18.0,384.0,log
0.00882,2.0,12.0,160.0,log
0.00872,10.0,14.0,480.0,log
0.00844,6.0,20.0,96.0,log
0.0083,10.0,16.0,640.0,log
0.00773,4.0,6.0,128.0,log
0.00755,8.0,18.0,640.0,log
0.0073,4.0,18.0,256.0,log2
0.0073,6.0,6.0,480.0,log10
0.00715,4.0,12.0,64.0,log10
0.00695,1.0,14.0,64.0,log10
0.00688,8.0,14.0,384.0,log10
0.0065,10.0,12.0,320.0,log2
0.00635,1.0,18.0,80.0,log10
0.00617,4.0,20.0,320.0,log
0.00588,10.0,20.0,320.0,log
0.00537,4.0,12.0,320.0,log2
0.00526,1.0,18.0,64.0,log
0.00517,6.0,6.0,192.0,log10
0.00462,10.0,8.0,320.0,log2
0.00457,8.0,8.0,640.0,log
0.00457,6.0,18.0,384.0,log2
0.00457,10.0,16.0,800.0,log2
0.00386,8.0,10.0,256.0,log10
0.00319,6.0,6.0,192.0,log2
0.00307,4.0,18.0,128.0,log
0.00302,10.0,8.0,480.0,log
0.00268,8.0,14.0,256.0,log2
0.00231,10.0,12.0,800.0,log
0.00168,6.0,14.0,96.0,log2
0.00155,4.0,18.0,320.0,log10
0.00126,10.0,20.0,320.0,log10
0.00117,10.0,14.0,800.0,log10
0.0011,1.0,12.0,32.0,log2
0.00075,10.0,16.0,480.0,log10
0.00075,10.0,16.0,800.0,log10
0.0005,6.0,16.0,192.0,log
0.00046,4.0,16.0,192.0,log2
0.00026,1.0,8.0,48.0,log
8e-05,8.0,12.0,384.0,log10
-0.00063,4.0,16.0,128.0,log10
-0.00071,6.0,10.0,288.0,log
-0.00097,8.0,16.0,128.0,log10
-0.00105,4.0,8.0,256.0,log10
-0.00109,6.0,6.0,384.0,log2
-0.0016,1.0,10.0,16.0,log2
-0.0018,10.0,16.0,320.0,log2
-0.00206,2.0,8.0,160.0,log10
-0.00219,6.0,12.0,96.0,log
-0.00222,10.0,18.0,640.0,log10
-0.00226,8.0,6.0,512.0,log10
-0.00281,2.0,20.0,160.0,log2
-0.00298,10.0,12.0,320.0,log
-0.00311,2.0,10.0,128.0,log
-0.00331,10.0,20.0,480.0,log2
-0.00365,4.0,14.0,128.0,log
-0.00454,1.0,8.0,48.0,log10
