score,KC_factor,projections,hash_dims,flattening
-0.01736,10.0,8.0,1200.0,log
-0.01736,10.0,18.0,2000.0,log
-0.01736,6.0,18.0,480.0,log10
-0.01808,2.0,18.0,240.0,log
-0.01808,6.0,8.0,960.0,log2
-0.01842,4.0,8.0,800.0,log
-0.0188,2.0,8.0,400.0,log2
-0.01918,10.0,12.0,2000.0,log2
-0.01921,8.0,10.0,1280.0,log10
-0.02031,6.0,18.0,1200.0,log
-0.02034,6.0,18.0,1200.0,log2
-0.02034,10.0,10.0,800.0,log2
-0.02038,8.0,16.0,1600.0,log
-0.02135,2.0,20.0,240.0,log2
-0.02144,2.0,8.0,320.0,log
-0.02189,10.0,10.0,800.0,log10
-0.02484,8.0,10.0,960.0,log2
-0.02484,10.0,8.0,400.0,log10
-0.02522,4.0,20.0,800.0,log10
-0.02557,4.0,8.0,480.0,log2
-0.02566,10.0,16.0,1200.0,log2
-0.02566,10.0,10.0,1600.0,log10
-0.02642,10.0,14.0,1600.0,log2
-0.02752,6.0,10.0,720.0,log
-0.02789,4.0,10.0,640.0,log
-0.02835,1.0,20.0,40.0,log2
-0.02868,10.0,14.0,2000.0,log
-0.02894,2.0,12.0,160.0,log2
-0.02897,2.0,20.0,160.0,log2
-0.029,4.0,12.0,640.0,log2
-0.02978,6.0,10.0,960.0,log2
-0.0301,2.0,8.0,240.0,log2
-0.03016,10.0,12.0,800.0,log10
-0.03094,10.0,14.0,400.0,log10
-0.03129,6.0,8.0,960.0,log
-0.03129,10.0,12.0,2000.0,log10
-0.03164,6.0,14.0,1200.0,log2
-0.03167,10.0,16.0,1200.0,log10
-0.03167,10.0,16.0,2000.0,log10
-0.0317,10.0,16.0,2000.0,log2
-0.03242,8.0,16.0,1280.0,log2
-0.03242,10.0,14.0,1200.0,log2
-0.03245,10.0,18.0,800.0,log2
-0.03318,10.0,6.0,800.0,log
-0.03321,8.0,14.0,960.0,log
-0.03356,6.0,20.0,960.0,log
-0.03391,2.0,14.0,320.0,log
-0.03396,10.0,6.0,800.0,log2
-0.03428,6.0,6.0,960.0,log
-0.03472,8.0,20.0,1600.0,log2
-0.03496,6.0,8.0,240.0,log2
-0.03504,1.0,12.0,160.0,log10
-0.03513,2.0,6.0,80.0,log
-0.03547,10.0,14.0,1600.0,log
-0.03582,10.0,12.0,1600.0,log10
-0.0359,4.0,16.0,160.0,log2
-0.03623,6.0,14.0,1200.0,log
-0.03623,8.0,12.0,640.0,log
-0.03623,10.0,20.0,400.0,log
-0.03623,6.0,12.0,720.0,log2
-0.03623,8.0,12.0,960.0,log2
-0.03623,10.0,14.0,2000.0,log2
-0.03644,1.0,8.0,160.0,log2
-0.03736,1.0,12.0,80.0,log2
-0.03809,10.0,10.0,800.0,log
-0.03849,10.0,6.0,1200.0,log
-0.03925,8.0,18.0,960.0,log10
-0.04,10.0,12.0,1200.0,log2
-0.04,10.0,14.0,2000.0,log10
-0.04068,8.0,14.0,320.0,log2
-0.04076,10.0,20.0,2000.0,log
-0.04076,6.0,12.0,960.0,log2
-0.04076,8.0,10.0,1600.0,log2
-0.04076,6.0,20.0,720.0,log10
-0.04106,4.0,18.0,320.0,log
-0.04108,10.0,20.0,1200.0,log2
-0.04113,1.0,16.0,80.0,log10
-0.04217,2.0,20.0,240.0,log10
-0.04222,2.0,16.0,160.0,log2
-0.04252,1.0,20.0,160.0,log2
-0.04262,8.0,6.0,320.0,log10
-0.04356,1.0,6.0,80.0,log10
-0.04377,4.0,14.0,640.0,log2
-0.0445,8.0,12.0,640.0,log2
-0.04486,8.0,6.0,320.0,log2
-0.04599,6.0,20.0,240.0,log2
-0.04601,4.0,14.0,320.0,log
-0.04601,8.0,8.0,1600.0,log10
-0.04604,1.0,10.0,40.0,log10
-0.04677,8.0,6.0,1280.0,log
-0.0471,6.0,18.0,240.0,log2
-0.04755,8.0,18.0,1280.0,log
-0.04826,8.0,12.0,960.0,log
-0.04861,8.0,18.0,1600.0,log2
-0.04866,10.0,16.0,1600.0,log10
-0.04892,10.0,18.0,400.0,log2
-0.04897,6.0,16.0,480.0,log10
-0.04899,4.0,6.0,160.0,log2
-0.04941,6.0,12.0,1200.0,log2
-0.04941,10.0,14.0,1600.0,log10
-0.04981,10.0,12.0,400.0,log
-0.0501,6.0,20.0,480.0,log
-0.05048,8.0,14.0,320.0,log10
-0.05081,2.0,10.0,160.0,log
-0.05115,2.0,18.0,80.0,log10
-0.05121,6.0,8.0,480.0,log2
-0.05146,2.0,14.0,160.0,log
-0.05166,2.0,10.0,400.0,log
-0.05168,6.0,16.0,480.0,log2
-0.05208,10.0,10.0,2000.0,log
-0.05208,10.0,6.0,1200.0,log2
-0.05283,10.0,10.0,1600.0,log
-0.05319,6.0,20.0,960.0,log10
-0.05352,6.0,16.0,960.0,log10
-0.05434,8.0,8.0,1280.0,log2
-0.0545,2.0,12.0,400.0,log2
-0.05458,1.0,8.0,120.0,log2
-0.05509,2.0,10.0,400.0,log10
-0.05583,10.0,12.0,1600.0,log
-0.05585,8.0,18.0,1600.0,log
-0.05717,1.0,6.0,200.0,log2
-0.0573,1.0,10.0,120.0,log10
-0.05734,4.0,10.0,320.0,log
-0.05734,8.0,16.0,1280.0,log
-0.05736,4.0,20.0,640.0,log2
-0.05736,10.0,16.0,1600.0,log2
-0.05772,10.0,8.0,1200.0,log10
-0.05885,4.0,8.0,320.0,log
-0.05885,8.0,20.0,960.0,log
-0.05891,1.0,14.0,40.0,log
-0.05962,4.0,12.0,800.0,log
-0.05962,8.0,8.0,1600.0,log2
-0.05962,6.0,14.0,1200.0,log10
-0.06111,2.0,16.0,400.0,log2
-0.06182,1.0,18.0,160.0,log
-0.06187,6.0,18.0,720.0,log2
-0.06189,10.0,8.0,2000.0,log10
-0.06331,2.0,8.0,80.0,log10
-0.06336,2.0,6.0,320.0,log2
-0.0634,8.0,16.0,1600.0,log10
-0.0641,6.0,20.0,480.0,log2
-0.06415,10.0,8.0,2000.0,log2
-0.06489,6.0,6.0,720.0,log
-0.06491,6.0,20.0,1200.0,log2
-0.06553,6.0,14.0,240.0,log
-0.06564,4.0,10.0,640.0,log10
-0.06566,10.0,18.0,1600.0,log
-0.06566,8.0,20.0,960.0,log2
-0.06599,1.0,16.0,200.0,log10
-0.0664,8.0,6.0,960.0,log10
-0.06705,1.0,18.0,120.0,log2
-0.06715,8.0,16.0,960.0,log10
-0.06753,10.0,14.0,800.0,log10
-0.06791,8.0,8.0,640.0,log2
-0.06827,2.0,6.0,320.0,log10
-0.06868,6.0,6.0,960.0,log10
-0.06942,6.0,16.0,720.0,log10
-0.07,2.0,12.0,80.0,log2
-0.07015,2.0,10.0,160.0,log2
-0.07016,6.0,8.0,480.0,log
-0.07055,10.0,20.0,800.0,log2
-0.0709,4.0,12.0,640.0,log10
-0.07093,10.0,16.0,2000.0,log
-0.07093,2.0,14.0,320.0,log2
-0.07094,10.0,12.0,1600.0,log2
-0.07129,2.0,16.0,400.0,log10
-0.07168,6.0,6.0,720.0,log10
-0.0717,2.0,20.0,320.0,log2
-0.07244,2.0,20.0,240.0,log
-0.07279,6.0,10.0,480.0,log2
-0.07395,4.0,6.0,480.0,log2
-0.0746,1.0,14.0,80.0,log10
-0.07468,10.0,18.0,400.0,log10
-0.07622,1.0,14.0,160.0,log10
-0.07698,6.0,12.0,960.0,log10
-0.07734,2.0,16.0,320.0,log10
-0.07734,8.0,20.0,960.0,log10
-0.07769,1.0,10.0,120.0,log
-0.07773,6.0,6.0,240.0,log
-0.07774,8.0,18.0,1280.0,log10
-0.07849,10.0,20.0,1600.0,log2
-0.07924,4.0,20.0,320.0,log10
-0.07999,4.0,8.0,160.0,log10
-0.08,10.0,14.0,400.0,log
-0.08075,8.0,18.0,960.0,log
-0.08146,4.0,16.0,160.0,log
-0.08187,6.0,18.0,960.0,log2
-0.08187,10.0,12.0,400.0,log2
-0.08336,1.0,8.0,160.0,log
-0.08377,6.0,16.0,1200.0,log
-0.08377,6.0,16.0,960.0,log2
-0.08451,10.0,10.0,1200.0,log
-0.08452,6.0,8.0,1200.0,log2
-0.08453,10.0,16.0,800.0,log2
-0.08528,10.0,14.0,1200.0,log10
-0.08675,2.0,16.0,160.0,log10
-0.08679,8.0,14.0,640.0,log2
-0.08713,8.0,12.0,1280.0,log10
-0.08754,6.0,12.0,480.0,log2
-0.08792,6.0,20.0,1200.0,log
-0.08792,4.0,16.0,640.0,log2
-0.09018,4.0,18.0,800.0,log
-0.09126,2.0,14.0,240.0,log2
-0.09132,6.0,8.0,480.0,log10
-0.0928,2.0,18.0,160.0,log2
-0.09283,8.0,6.0,640.0,log2
-0.09396,4.0,12.0,320.0,log2
-0.09469,10.0,6.0,400.0,log10
-0.09471,2.0,8.0,320.0,log2
-0.09506,1.0,20.0,80.0,log
-0.09509,6.0,10.0,1200.0,log
-0.09547,4.0,10.0,480.0,log10
-0.09584,4.0,12.0,480.0,log
-0.09584,1.0,10.0,200.0,log2
-0.09733,4.0,18.0,160.0,log10
-0.09736,6.0,12.0,720.0,log
-0.09736,4.0,16.0,480.0,log2
-0.09773,4.0,12.0,800.0,log10
-0.09809,1.0,18.0,200.0,log
-0.09811,6.0,10.0,480.0,log10
-0.09924,10.0,20.0,2000.0,log10
-0.0996,1.0,8.0,200.0,log2
-0.10151,10.0,8.0,400.0,log
-0.10151,10.0,6.0,800.0,log10
-0.10263,1.0,8.0,80.0,log
-0.10452,1.0,18.0,160.0,log2
-0.1049,4.0,12.0,160.0,log2
-0.10491,6.0,16.0,1200.0,log2
-0.10564,2.0,14.0,80.0,log10
-0.10566,8.0,20.0,1600.0,log10
-0.10604,6.0,20.0,1200.0,log10
-0.10642,8.0,12.0,1600.0,log
-0.10642,10.0,10.0,2000.0,log2
-0.10642,6.0,16.0,1200.0,log10
-0.10793,8.0,8.0,960.0,log10
-0.1083,6.0,10.0,1200.0,log2
