score,KC_factor,projections,hash_dims,flattening
0.12877,4.0,8.0,4800.0,log2
0.12875,2.0,20.0,4000.0,log10
0.12856,1.0,14.0,1200.0,log2
0.12844,4.0,14.0,8000.0,log
0.12843,1.0,18.0,800.0,log2
0.12837,6.0,20.0,2400.0,log
0.12837,6.0,18.0,2400.0,log10
0.12824,6.0,12.0,9600.0,log10
0.12821,1.0,14.0,2000.0,log2
0.1282,6.0,14.0,12000.0,log10
0.12819,8.0,8.0,9600.0,log
0.12816,1.0,8.0,1200.0,log10
0.12816,8.0,14.0,16000.0,log10
0.1281,1.0,8.0,800.0,log2
0.12802,6.0,10.0,9600.0,log2
0.12801,1.0,18.0,1200.0,log10
0.12795,6.0,14.0,2400.0,log
0.12793,2.0,14.0,3200.0,log
0.12786,2.0,14.0,4000.0,log
0.12777,8.0,10.0,12800.0,log10
0.12776,8.0,12.0,12800.0,log
0.12775,1.0,14.0,2000.0,log10
0.12773,4.0,8.0,3200.0,log2
0.12764,8.0,14.0,3200.0,log2
0.12762,4.0,8.0,4800.0,log
0.12752,1.0,12.0,1200.0,log
0.12752,2.0,18.0,2400.0,log2
0.12749,2.0,10.0,3200.0,log
0.12749,2.0,12.0,2400.0,log2
0.12748,4.0,10.0,6400.0,log2
0.12745,1.0,14.0,800.0,log2
0.12745,6.0,8.0,7200.0,log2
0.12743,8.0,10.0,12800.0,log
0.12723,6.0,10.0,4800.0,log2
0.12717,1.0,18.0,800.0,log10
0.12716,1.0,18.0,1600.0,log10
0.12712,1.0,18.0,2000.0,log10
0.12711,2.0,20.0,800.0,log
0.12711,2.0,14.0,4000.0,log2
0.12708,4.0,12.0,3200.0,log2
0.1268,2.0,8.0,3200.0,log2
0.12654,2.0,8.0,2400.0,log2
0.12653,4.0,14.0,8000.0,log10
0.12644,2.0,8.0,1600.0,log2
0.12643,1.0,12.0,800.0,log
0.1264,6.0,8.0,7200.0,log
0.12638,8.0,20.0,3200.0,log2
0.12633,8.0,10.0,6400.0,log2
0.12632,4.0,18.0,1600.0,log10
0.12629,4.0,10.0,6400.0,log10
0.12625,2.0,8.0,1600.0,log
0.12621,8.0,8.0,6400.0,log2
0.12616,4.0,14.0,8000.0,log2
0.12609,1.0,12.0,1600.0,log10
0.12604,8.0,8.0,9600.0,log10
0.12591,4.0,14.0,1600.0,log10
0.12588,4.0,8.0,3200.0,log10
0.12576,2.0,18.0,800.0,log10
0.12566,4.0,20.0,1600.0,log10
0.12557,1.0,12.0,1600.0,log2
0.12549,2.0,10.0,1600.0,log2
0.12536,8.0,10.0,12800.0,log2
0.1253,8.0,8.0,9600.0,log2
0.12528,6.0,10.0,9600.0,log
0.12524,6.0,14.0,12000.0,log
0.12501,6.0,8.0,4800.0,log
0.12496,1.0,16.0,800.0,log
0.12495,8.0,12.0,16000.0,log10
0.12486,6.0,10.0,4800.0,log10
0.1248,8.0,12.0,16000.0,log
0.12474,6.0,10.0,9600.0,log10
0.12471,6.0,8.0,7200.0,log10
0.12458,6.0,18.0,2400.0,log2
0.12455,8.0,16.0,3200.0,log
0.12416,4.0,10.0,6400.0,log
